Rank,Title,Citations,Year,URL,Description
1,X10: an object-oriented approach to non-uniform cluster computing,2056,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:d1gkVwhDpl0C,"It is now well established that the device scaling predicted by Moore's Law is no longer a viable option for increasing the clock frequency of future uniprocessor systems at the rate that had been sustained during the last two decades. As a result, future systems are rapidly moving from uniprocessor to multiprocessor configurations, so as to use parallelism instead of frequency scaling as the foundation for increased compute capacity. The dominant emerging multiprocessor structure for the future is a Non-Uniform Cluster Computing (NUCC) system with nodes that are built out of multi-core SMP chips with non-uniform memory hierarchies, and interconnected in horizontally scalable cluster configurations such as blade servers. Unlike previous generations of hardware evolution, this shift will have a major impact on existing software. Current OO language facilities for concurrent and distributed programming are …"
2,Partitioning and scheduling parallel programs for execution on multiprocessors,1267,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:u5HHmVD_uO8C,"There are three fundamental problems to be solved in the execution of a parallel program on a multiprocessor--identifying the parallelism in the program, partitioning the program into tasks and scheduling the tasks on processors. Whereas the problem of identifying parallelism is a programming language issue, the partitioning and scheduling problems are intimately related to parameters of the target multiprocessor, like the number of processors and synchronisation and communication overhead. It is desirable for the partitioning and scheduling to be performed automatically, so that the same parallel program can execute efficiently on different multiprocessors. This dissertation presents two solutions to the partitioning and scheduling problems. The first approach is based on a macro-dataflow model, where the program is partitioned into tasks at compile-time and the tasks are scheduled on processors at run-time …"
3,Baring it all to software: Raw machines,1033,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:u-x6o8ySG0sC,"The most radical of the architectures that appear in this issue are Raw processors-highly parallel architectures with hundreds of very simple processors coupled to a small portion of the on-chip memory. Each processor, or tile, also contains a small bank of configurable logic, allowing synthesis of complex operations directly in configurable hardware. Unlike the others, this architecture does not use a traditional instruction set architecture. Instead, programs are compiled directly onto the Raw hardware, with all units told explicitly what to do by the compiler. The compiler even schedules most of the intertile communication. The real limitation to this architecture is the efficacy of the compiler. The authors demonstrate impressive speedups for simple algorithms that lend themselves well to this architectural model, but whether this architecture will be effective for future workloads is an open question."
4,The Jalapeno virtual machine,807,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:9yKSN-GCB0IC,"Jalapeño is a virtual machine for Java™ servers written in the Java language. To be able to address the requirements of servers (performance and scalability in particular), Jalapeño was designed “from scratch“ to be as self-sufficient as possible. Jalapeño's unique object model and memory layout allows a hardware null-pointer check as well as fast access to array elements, fields, and methods. Run-time services conventionally provided in native code are implemented primarily in Java. Java threads are multiplexed by virtual processors (implemented as operating system threads). A family of concurrent object allocators and parallel type-accurate garbage collectors is supported. Jalapeño's interoperable compilers enable quasi-preemptive thread switching and precise location of object references. Jalapeño's dynamic optimizing compiler is designed to obtain high quality code for methods that are observed to be …"
5,Linear scan register allocation,584,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:IjCSPb-OGe4C,"We describe a new algorithm for fast global register allocation called linear scan. This algorithm is not based on graph coloring, but allocates registers to variables in a single linear-time scan of the variables' live ranges. The linear scan algorithm is considerably faster than algorithms based on graph coloring, is simple to implement, and results in code that is almost as efficient as that obtained using more complex and time-consuming register allocators based on graph coloring. The algorithm is of interest in applications where compile time is a concern, such as dynamic compilation systems, “just-in-time” compilers, and interactive development environments."
6,Efficient and precise datarace detection for multithreaded object-oriented programs,534,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:qjMakFHDy7sC,"We present a novel approach to dynamic datarace detection for multithreaded object-oriented programs. Past techniques for on-the-fly datarace detection either sacrificed precision for performance, leading to many false positive datarace reports, or maintained precision but incurred significant overheads in the range of 3x to 30x. In contrast, our approach results in very few false positives and runtime overhead in the 13% to 42% range, making it both efficient and precise. This performance improvement is the result of a unique combination of complementary static and dynamic optimization techniques."
7,"Understanding reuse, performance, and hardware cost of dnn dataflow: A data-centric approach",444,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:SAZ1SQo2q1kC,"The data partitioning and scheduling strategies used by DNN accelerators to leverage reuse and perform staging are known as dataflow, which directly impacts the performance and energy efficiency of DNN accelerators. An accelerator micro architecture dictates the dataflow(s) that can be employed to execute layers in a DNN. Selecting a dataflow for a layer can have a large impact on utilization and energy efficiency, but there is a lack of understanding on the choices and consequences of dataflow, and of tools and methodologies to help architects explore the co-optimization design space. In this work, we first introduce a set of data-centric directives to concisely specify the DNN dataflow space in a compiler-friendly form. We then show how these directives can be analyzed to infer various forms of reuse and to exploit them using hardware capabilities. We codify this analysis into an analytical cost model …"
8,The Jalapeno dynamic optimizing compiler for Java,424,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:2osOgNQ5qMEC,"The Jalapeiio Dynamic Optimizing Compiler is a key component of the Jalapeiio Virtual Machine, a new Java’Virtual Machine (JVM) designed to support efficient and scalable execution of Java applications on SMP server machines. This paper describes the design of the Jalapefio Optimizing Compiler, and the implementation results that we have obtained thus far. To the best of our knowledge, this is the first dynamic optimizing compiler for Java that is being used in a JVM with a compile-only approach to program execution."
9,Space-time scheduling of instruction-level parallelism on a raw machine,394,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:UeHWp8X0CEIC,"Increasing demand for both greater parallelism and faster clocks dictate that future generation architectures will need to decentralize their resources and eliminate primitives that require single cycle global communication. A Raw microprocessor distributes all of its resources, including instruction streams, register files, memory ports, and ALUs, over a pipelined two-dimensional mesh interconnect, and exposes them fully to the compiler. Because communication in Raw machines is distributed, compiling for instruction-level parallelism (ILP) requires both spatial instruction partitioning as well as traditional temporal instruction scheduling. In addition, the compiler must explicitly manage all communication through the interconnect, including the global synchronization required at branch points. This paper describes RAWCC, the compiler we have developed for compiling general-purpose sequential programs to the …"
10,The Jikes Research Virtual Machine project: Building an open-source research community,357,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XjeIqxYAAAAJ&pagesize=50&citation_for_view=XjeIqxYAAAAJ:ufrVoPGSRksC,"This paper describes the evolution of the Jikes™ Research Virtual Machine project from an IBM internal research project, called Jalapeño, into an open-source project. After summarizing the original goals of the project, we discuss the motivation for releasing it as an open-source project and the activities performed to ensure the success of the project. Throughout, we highlight the unique challenges of developing and maintaining an open-source project designed specifically to support a research community."
