Rank,Title,Citations,Year,URL,Description
1,High throughput ANI analysis of 90K prokaryotic genomes reveals clear species boundaries,5342,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:v1_lew4L6wgC,"A fundamental question in microbiology is whether there is continuum of genetic diversity among genomes, or clear species boundaries prevail instead. Whole-genome similarity metrics such as Average Nucleotide Identity (ANI) help address this question by facilitating high resolution taxonomic analysis of thousands of genomes from diverse phylogenetic lineages. To scale to available genomes and beyond, we present FastANI, a new method to estimate ANI using alignment-free approximate sequence mapping. FastANI is accurate for both finished and draft genomes, and is up to three orders of magnitude faster compared to alignment-based approaches. We leverage FastANI to compute pairwise ANI values among all prokaryotic genomes available in the NCBI database. Our results reveal clear genetic discontinuity, with 99.8% of the total 8 billion genome pairs analyzed conforming to >95% intra-species and …"
2,"The B73 maize genome: complexity, diversity, and dynamics",4930,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:u5HHmVD_uO8C,"We report an improved draft nucleotide sequence of the 2.3-gigabase genome of maize, an important crop plant and model for biological research. Over 32,000 genes were predicted, of which 99.8% were placed on reference chromosomes. Nearly 85% of the genome is composed of hundreds of families of transposable elements, dispersed nonuniformly across the genome. These were responsible for the capture and amplification of numerous gene fragments and affect the composition, sizes, and positions of centromeres. We also report on the correlation of methylation-poor regions with Mu transposon insertions and recombination, and copy number variants with insertions and/or deletions, as well as how uneven gene losses between duplicated regions were involved in returning an ancient allotetraploid to a genetically diploid state. These analyses inform and set the stage for further investigations to improve …"
3,Efficient architecture-aware acceleration of BWA-MEM for multicore systems,3085,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:6_hjMsCP8ZoC,"Innovations in Next-Generation Sequencing are enabling generation of DNA sequence data at ever faster rates and at very low cost. For example, the Illumina NovaSeq 6000 sequencer can generate 6 Terabases of data in less than two days, sequencing nearly 20 Billion short DNA fragments called reads at the low cost of $1000 per human genome. Large sequencing centers typically employ hundreds of such systems. Such highthroughput and low-cost generation of data underscores the need for commensurate acceleration in downstream computational analysis of the sequencing data. A fundamental step in downstream analysis is mapping of the reads to a long reference DNA sequence, such as a reference human genome. Sequence mapping is a compute-intensive step that accounts for more than 30% of the overall time of the GATK (Genome Analysis ToolKit) best practices workflow. BWA-MEM is one of the …"
4,A brassinosteroid transcriptional network revealed by genome‐wide identification of BESI target genes in Arabidopsis thaliana,756,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:Y0pCki6q_DkC,"Brassinosteroids (BRs) are important regulators for plant growth and development. BRs signal to control the activities of the BES1 and BZR1 family transcription factors. The transcriptional network through which BES1 and BZR regulate large number of target genes is mostly unknown. By combining chromatin immunoprecipitation coupled with Arabidopsis tiling arrays (ChIP‐chip) and gene expression studies, we have identified 1609 putative BES1 target genes, 404 of which are regulated by BRs and/or in gain‐of‐function bes1‐D mutant. BES1 targets contribute to BR responses and interactions with other hormonal or light signaling pathways. Computational modeling of gene expression data using Algorithm for the Reconstruction of Accurate Cellular Networks (ARACNe) reveals that BES1‐targeted transcriptional factors form a gene regulatory network (GRN). Mutants of many genes in the network displayed …"
5,Space efficient linear time construction of suffix arrays,410,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:u-x6o8ySG0sC,"We present a linear time algorithm to sort all the suffixes of a string over a large alphabet of integers. The sorted order of suffixes of a string is also called suffix array, a data structure introduced by Manber and Myers that has numerous applications in pattern matching, string processing, and computational biology. Though the suffix tree of a string can be constructed in linear time and the sorted order of suffixes derived from it, a direct algorithm for suffix sorting is of great interest due to the space requirements of suffix trees. Our result improves upon the best known direct algorithm for suffix sorting, which takes O(n log n) time. We also show how to construct suffix trees in linear time from our suffix sorting result. Apart from being simple and applicable for alphabets not necessarily of fixed size, this method of constructing suffix trees is more space efficient."
6,PCAP: a whole-genome assembly program,408,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:d1gkVwhDpl0C,"We describe a whole-genome assembly program named PCAP for processing tens of millions of reads. The PCAP program has several features to address efficiency and accuracy issues in assembly. Multiple processors are used to perform most time-consuming computations in assembly. A more sensitive method is used to avoid missing overlaps caused by sequencing errors. Repetitive regions of reads are detected on the basis of many overlaps with other reads, instead of many shorter word matches with other reads. Contaminated end regions of reads are identified and removed. Generation of a consensus sequence for a contig is based on an alignment of reads in the contig, in which both base quality values and coverage information are used to determine every consensus base. The PCAP program was tested on a mouse whole-genome data set of 30 million reads and a human Chromosome 20 data …"
7,A survey of error-correction methods for next-generation sequencing,332,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:YFjsv_pBGBYC,"Error Correction is important for most next-generation sequencing applications because highly accurate sequenced reads will likely lead to higher quality results. Many techniques for error correction of sequencing data from next-gen platforms have been developed in the recent years. However, compared with the fast development of sequencing technologies, there is a lack of standardized evaluation procedure for different error-correction methods, making it difficult to assess their relative merits and demerits. In this article, we provide a comprehensive review of many error-correction methods, and establish a common set of benchmark data and evaluation criteria to provide a comparative assessment. We present experimental results on quality, run-time, memory usage and scalability of several error-correction methods. Apart from providing explicit recommendations useful to practitioners, the review serves to …"
8,RD26 mediates crosstalk between drought and brassinosteroid signalling pathways,289,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:NyGDZy8z5eUC,"Brassinosteroids (BRs) regulate plant growth and stress responses via the BES1/BZR1 family of transcription factors, which regulate the expression of thousands of downstream genes. BRs are involved in the response to drought, however the mechanistic understanding of interactions between BR signalling and drought response remains to be established. Here we show that transcription factor RD26 mediates crosstalk between drought and BR signalling. When overexpressed, BES1 target gene RD26 can inhibit BR-regulated growth. Global gene expression studies suggest that RD26 can act antagonistically to BR to regulate the expression of a subset of BES1-regulated genes, thereby inhibiting BR function. We show that RD26 can interact with BES1 protein and antagonize BES1 transcriptional activity on BR-regulated genes and that BR signalling can also repress expression of RD26 and its homologues and …"
9,Handbook of computational molecular biology,259,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:eQOLeE2rZwMC,"The enormous complexity of biological systems at the molecular level must be answered with powerful computational methods. Computational biology is a young field, but has seen rapid growth and advancement over the past few decades. Surveying the progress made in this multidisciplinary field, the Handbook of Computational Molecular Biology of"
10,Space efficient linear time construction of suffix arrays,240,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YOGOScoAAAAJ&pagesize=50&citation_for_view=YOGOScoAAAAJ:2osOgNQ5qMEC,"We present a linear time algorithm to sort all the suffixes of a string over a large alphabet of integers. The sorted order of suffixes of a string is also called suffix array, a data structure introduced by Manber and Myers that has numerous applications in pattern matching, string processing, and computational biology. Though the suffix tree of a string can be constructed in linear time and the sorted order of suffixes derived from it, a direct algorithm for suffix sorting is of great interest due to the space requirements of suffix trees. Our result is one of the first linear time suffix array construction algorithms, which improve upon the previously known O(nlogn) time direct algorithms for suffix sorting. It can also be used to derive a different linear time construction algorithm for suffix trees. Apart from being simple and applicable for alphabets not necessarily of fixed size, this method of constructing suffix trees is more space efficient."
